user_id,journey_id,fim
499645,209,2023-02-01 18:18:56.558658
499645,158,2023-04-30 01:09:45.054690
499645,139,2023-02-01 18:28:03.559977
499645,458,2023-02-18 02:02:29.056304
499645,459,2023-02-18 02:42:42.594320
499645,469,2023-02-18 02:44:36.089213
499645,239,2023-02-01 18:18:51.993570
499645,243,2023-02-01 17:45:28.168504
499645,241,2023-02-01 18:21:00.889048
499645,211,2023-02-01 18:18:52.406174
499645,242,2023-05-10 20:45:28.110896
499645,142,2023-02-01 18:21:57.552736
499645,210,2023-02-01 18:27:34.485351
501993,639,2022-05-12 21:07:23.125152
505350,243,2023-02-01 18:44:29.806981
505350,244,2023-02-01 18:55:24.694564
505706,457,2023-02-17 22:35:56.045446
505706,509,2023-02-17 22:37:05.093081
505706,458,2023-02-17 22:36:32.195621
505706,512,2023-02-17 22:35:32.477402
507211,86,2022-07-26 18:21:42.078498
507662,86,2022-11-07 17:04:50.644933
507662,782,2022-11-23 00:13:00.191293
508475,86,2022-11-17 22:21:40.302052
509572,813,2023-01-26 21:17:08.759632
509572,599,2023-01-30 21:24:16.471392
509572,380,2023-02-01 23:42:54.475411
509572,720,2022-08-22 19:38:28.125885
509572,709,2022-08-23 00:13:24.798654
510469,124,2022-03-10 19:07:48.744378
510469,416,2022-03-10 18:49:25.791604
510941,869,2023-06-23 22:11:35.767841
510941,811,2023-01-31 23:19:48.978402
510941,696,2023-06-23 22:32:22.138465
510941,517,2022-05-03 21:35:36.196513
510941,158,2023-06-23 21:42:02.483679
510941,262,2023-02-01 19:48:32.177216
511101,831,2023-05-23 20:42:07.364582
511101,599,2023-05-23 21:09:20.292064
511101,830,2023-05-23 21:10:51.895042
511101,380,2023-05-23 22:16:13.013001
511101,864,2023-05-23 22:18:08.835903
511101,813,2023-01-31 22:58:00.062620
511101,158,2023-05-23 20:39:21.214670
514111,86,2023-01-12 11:59:12.400405
515885,86,2022-12-23 14:41:07.741357
516009,86,2022-02-24 11:30:19.105827
517214,851,2023-07-13 23:15:25.940495
517214,850,2023-06-25 22:39:16.037562
517214,599,2023-06-25 23:27:23.899726
517214,25,2023-06-25 23:44:23.634366
517214,158,2023-06-25 23:08:21.760773
517214,86,2023-07-28 21:52:46.551028
517214,380,2023-07-06 20:26:10.700604
517214,689,2023-07-06 21:21:27.402544
521099,158,2023-06-29 00:22:00.119877
521285,284,2023-02-01 20:46:01.952500
521787,86,2023-02-14 17:25:25.383117
525646,25,2022-04-20 14:23:25.416271
525646,346,2023-02-07 15:28:18.913569
525646,343,2023-02-07 15:29:45.605722
525646,522,2023-03-03 18:21:55.738311
525646,523,2023-03-03 18:21:42.754001
525869,86,2022-12-12 00:45:16.063172
525869,805,2022-12-12 00:49:42.384261
525869,696,2022-12-12 01:17:38.709047
527235,86,2022-04-19 22:15:39.637690
527235,25,2022-04-27 12:10:42.357754
527235,124,2022-04-27 12:29:24.112575
527837,86,2022-07-23 22:39:32.188817
527942,557,2022-01-31 23:00:21.068009
527942,559,2022-01-31 23:01:41.011041
528907,599,2022-05-24 16:03:16.227885
528907,822,2023-03-07 01:27:02.791574
528907,632,2022-05-14 18:08:23.172867
528907,821,2023-03-07 01:12:46.810389
528907,25,2023-03-07 12:22:17.998830
528907,380,2023-03-07 13:32:07.704345
528907,689,2023-03-07 13:32:58.888914
528907,358,2023-02-07 15:52:11.373541
530599,86,2022-11-17 22:32:06.788710
530599,158,2023-05-23 12:01:46.988190
531058,813,2023-01-14 07:13:00.736867
531058,25,2023-01-14 10:38:22.651125
531058,599,2023-01-14 07:46:51.382501
531058,380,2023-01-14 11:20:12.490877
531415,599,2022-06-07 18:28:29.064817
531415,358,2023-02-07 17:31:11.952355
531415,351,2023-02-07 17:31:15.869365
531415,352,2023-02-07 17:31:13.171400
531415,349,2023-02-07 17:31:27.271561
532059,158,2023-06-21 12:54:35.356422
532794,516,2023-02-18 02:08:48.353381
532807,677,2023-05-31 19:39:51.489474
532807,86,2023-06-07 13:09:13.423577
532807,158,2023-05-31 16:56:00.562222
537039,304,2023-02-01 21:28:59.399052
537365,637,2023-03-23 15:19:47.928471
537365,634,2023-03-23 15:20:06.620658
537365,638,2023-03-23 15:19:48.987458
537365,304,2023-02-01 21:35:23.834360
537827,304,2023-02-01 21:39:48.395131
537827,303,2023-02-01 22:21:22.189169
537948,304,2023-02-01 21:48:42.506640
538023,304,2023-02-01 21:42:07.236176
538047,304,2023-02-01 21:42:29.326787
538235,432,2023-02-07 21:53:16.632434
538235,430,2023-02-07 21:53:13.939966
538766,25,2022-05-31 22:14:25.808229
538766,304,2023-02-01 21:53:31.622062
538766,637,2023-03-23 15:53:32.330546
538766,638,2023-03-23 15:53:44.771848
538766,634,2023-03-23 15:54:32.310916
538766,599,2022-05-31 22:25:50.003277
538766,380,2022-05-31 23:22:12.137371
538910,811,2023-01-10 16:03:40.120460
538910,25,2023-08-02 04:37:15.599763
538910,304,2023-02-01 22:01:00.754965
538910,516,2023-02-17 22:14:20.431655
538910,559,2022-01-26 22:20:48.924296
538910,639,2022-05-12 21:18:44.810960
538910,640,2022-05-16 06:08:29.349220
538910,380,2022-10-28 19:54:13.615072
538910,517,2022-05-16 06:09:05.765072
538910,557,2022-01-26 22:20:23.841783
538910,556,2022-01-26 22:21:31.489765
538910,751,2023-03-24 14:23:37.829516
542764,158,2023-04-26 17:23:17.370147
543187,158,2023-06-01 15:07:04.092490
546140,465,2023-02-17 18:48:54.395684
546140,468,2023-02-17 18:49:00.136142
546140,467,2023-02-17 18:49:04.042724
546140,460,2023-02-17 18:54:48.106001
546330,25,2022-06-07 20:46:49.539647
546330,86,2022-01-31 19:52:49.135639
546330,639,2022-06-07 20:00:53.715569
546330,517,2022-06-08 04:01:01.118080
546330,599,2022-06-08 04:00:35.616259
546330,640,2022-06-07 20:14:30.834421
546514,560,2022-02-08 19:33:52.964978
546514,562,2022-02-08 19:57:55.391190
546514,561,2022-02-08 19:48:25.875439
546514,537,2022-01-11 19:14:59.570506
546514,538,2022-02-10 20:13:24.766614
546514,540,2022-02-14 20:14:11.747322
546514,563,2022-03-23 13:13:05.593576
