id,name
298868,Logistica / Supply Chain
1090282,Administrativo
1090282,Marketing / Comunicação
300035,Logistica / Supply Chain
68161,Finanças / Contabilidade
332315,Logistica / Supply Chain
324648,Finanças / Contabilidade
283708,Finanças / Contabilidade
282012,Tecnologia
377088,Tecnologia
377088,Saúde
348161,Administrativo
348161,Finanças / Contabilidade
377088,Produção / Operações
347900,Tecnologia
347900,Saúde
347900,Produção / Operações
308566,Logistica / Supply Chain
257716,Tecnologia
326308,Finanças / Contabilidade
348045,RH
348045,Administrativo
348045,Finanças / Contabilidade
348045,Logistica / Supply Chain
285536,Finanças / Contabilidade
249854,Tecnologia
1085533,Comercial / Vendas
1085533,Tecnologia
389356,Tecnologia
1082795,Comercial / Vendas
1082795,Administrativo
1082795,Produção / Operações
1082795,Logistica / Supply Chain
1085533,Marketing / Comunicação
1085533,Finanças / Contabilidade
1088253,Administrativo
46796,Logistica / Supply Chain
162484,Logistica / Supply Chain
258513,Comercial / Vendas
258513,RH
328548,Finanças / Contabilidade
514233,Comercial / Vendas
514233,Tecnologia
292683,Logistica / Supply Chain
292675,Finanças / Contabilidade
514233,RH
514233,Administrativo
293815,Finanças / Contabilidade
258447,Comercial / Vendas
1019375,Tecnologia
266127,Tecnologia
501526,Engenharia
501526,Tecnologia
501526,Administrativo
501526,Produção / Operações
1088253,Finanças / Contabilidade
1092386,Comercial / Vendas
296083,Logistica / Supply Chain
258448,RH
292238,Produção / Operações
296210,Finanças / Contabilidade
241197,Logistica / Supply Chain
272478,Tecnologia
389120,Comercial / Vendas
389120,Marketing / Comunicação
389120,Produção / Operações
325506,Finanças / Contabilidade
266169,Finanças / Contabilidade
298868,Finanças / Contabilidade
300277,Finanças / Contabilidade
307398,Logistica / Supply Chain
292675,Produção / Operações
300035,Finanças / Contabilidade
298929,Finanças / Contabilidade
1013547,Comercial / Vendas
1013547,Marketing / Comunicação
307917,Logistica / Supply Chain
299613,Finanças / Contabilidade
1085311,Tecnologia
308212,Logistica / Supply Chain
293008,Produção / Operações
303027,Logistica / Supply Chain
293636,Produção / Operações
309531,Logistica / Supply Chain
159248,Tecnologia
311842,Logistica / Supply Chain
162484,Finanças / Contabilidade
1085554,Administrativo
1085554,Marketing / Comunicação
1085554,Produção / Operações
575842,Engenharia
305589,Finanças / Contabilidade
241197,Finanças / Contabilidade
306164,Finanças / Contabilidade
307398,Finanças / Contabilidade
1085562,Administrativo
1085562,Produção / Operações
1085562,Logistica / Supply Chain
1053016,Comercial / Vendas
1085599,RH
307917,Finanças / Contabilidade
1085378,Tecnologia
1084640,Logistica / Supply Chain
389356,Produção / Operações
308870,Finanças / Contabilidade
308913,Finanças / Contabilidade
309531,Finanças / Contabilidade
259566,Comercial / Vendas
1090356,Engenharia
477477,Comercial / Vendas
477477,Tecnologia
477477,RH
