id,key,superfit_dis,superfit_sin,superfit_cur,superfit_int,superfit_eng,superfit_res
1018695,SF_SR,52.00,56.00,50.00,42.00,54.00,58.00
1018669,SF_IR,60.00,54.00,58.00,66.00,58.00,62.00
1018698,SF_DI,62.00,46.00,32.00,48.00,40.00,44.00
1018687,SF_DS,48.00,52.00,40.00,34.00,32.00,42.00
1018608,SF_IR,50.00,48.00,50.00,58.00,44.00,56.00
1015360,SF_DR,64.00,48.00,46.00,52.00,52.00,66.00
1018725,SF_DE,50.00,44.00,34.00,48.00,52.00,44.00
1018676,SF_DR,66.00,56.00,44.00,52.00,50.00,60.00
1018693,SF_DR,66.00,58.00,58.00,54.00,60.00,70.00
1018733,SF_DS,62.00,58.00,52.00,50.00,38.00,46.00
1018703,SF_DE,56.00,44.00,40.00,48.00,50.00,26.00
1018686,SF_CR,56.00,52.00,58.00,56.00,50.00,72.00
1018699,SF_DI,60.00,42.00,38.00,54.00,38.00,50.00
1018732,SF_IR,56.00,48.00,34.00,70.00,38.00,58.00
1018705,SF_DS,68.00,60.00,44.00,42.00,40.00,58.00
1018702,SF_SC,46.00,54.00,52.00,46.00,30.00,50.00
1018683,SF_DI,66.00,56.00,56.00,58.00,54.00,52.00
1016002,SF_DE,60.00,40.00,38.00,54.00,58.00,42.00
1018722,SF_DR,68.00,52.00,36.00,50.00,44.00,56.00
1018689,SF_DI,62.00,58.00,44.00,64.00,48.00,54.00
1017231,SF_DR,64.00,56.00,48.00,52.00,44.00,60.00
1028289,SF_DI,52.00,48.00,38.00,50.00,46.00,46.00
1018726,SF_IR,48.00,42.00,48.00,50.00,44.00,52.00
1018719,SF_SR,54.00,64.00,34.00,48.00,40.00,58.00
1018721,SF_IE,50.00,38.00,34.00,54.00,52.00,32.00
1018716,SF_DI,68.00,50.00,60.00,66.00,56.00,52.00
1018743,SF_DI,62.00,48.00,42.00,56.00,44.00,54.00
1018724,SF_CR,52.00,52.00,56.00,54.00,50.00,60.00
1018723,SF_IR,66.00,50.00,60.00,72.00,60.00,68.00
1017797,SF_DC,68.00,48.00,50.00,46.00,36.00,44.00
1018737,SF_DI,70.00,60.00,52.00,66.00,52.00,58.00
1018779,SF_DI,62.00,56.00,44.00,60.00,52.00,56.00
1017729,SF_DI,66.00,46.00,46.00,66.00,62.00,60.00
1018744,SF_DE,68.00,54.00,50.00,58.00,62.00,50.00
1018728,SF_DI,52.00,50.00,40.00,68.00,44.00,50.00
1018620,SF_IE,48.00,48.00,48.00,58.00,60.00,46.00
1017944,SF_DS,52.00,50.00,38.00,48.00,44.00,38.00
1017765,SF_DE,62.00,54.00,58.00,48.00,60.00,54.00
1015384,SF_SR,40.00,48.00,44.00,24.00,44.00,64.00
1018762,SF_DR,76.00,46.00,36.00,56.00,36.00,58.00
1018785,SF_IE,54.00,52.00,44.00,62.00,58.00,56.00
1018735,SF_CI,52.00,52.00,54.00,56.00,52.00,50.00
1018769,SF_SI,50.00,58.00,44.00,60.00,42.00,52.00
1018751,SF_DS,68.00,58.00,54.00,56.00,52.00,40.00
1018789,SF_DS,64.00,62.00,42.00,50.00,48.00,60.00
1018787,SF_DI,54.00,48.00,28.00,52.00,44.00,38.00
955337,SF_DC,64.00,58.00,62.00,60.00,54.00,46.00
1018793,SF_DI,62.00,50.00,48.00,54.00,44.00,40.00
1018700,SF_IR,52.00,52.00,42.00,56.00,38.00,54.00
1018772,SF_DC,46.00,36.00,42.00,40.00,26.00,40.00
1017791,SF_DI,58.00,46.00,28.00,56.00,44.00,48.00
1018704,SF_DS,58.00,50.00,32.00,44.00,30.00,38.00
1018756,SF_DR,66.00,58.00,52.00,62.00,56.00,64.00
1018748,SF_DE,60.00,40.00,50.00,40.00,62.00,50.00
1012059,SF_DE,60.00,56.00,40.00,58.00,64.00,52.00
1018749,SF_DR,56.00,42.00,38.00,54.00,50.00,64.00
1018750,SF_DI,68.00,34.00,44.00,52.00,48.00,38.00
1018741,SF_DE,76.00,50.00,52.00,60.00,60.00,46.00
1018800,SF_DE,66.00,52.00,54.00,56.00,58.00,54.00
1018780,SF_DS,42.00,44.00,30.00,34.00,38.00,32.00
1017717,SF_SR,50.00,60.00,48.00,42.00,44.00,68.00
1018838,SF_DI,64.00,44.00,40.00,48.00,42.00,42.00
1018766,SF_SI,46.00,48.00,30.00,50.00,28.00,42.00
1018826,SF_DR,62.00,48.00,32.00,48.00,50.00,60.00
1018003,SF_DS,48.00,56.00,28.00,40.00,40.00,44.00
1018798,SF_SR,54.00,58.00,54.00,52.00,54.00,56.00
1018564,SF_DI,68.00,58.00,56.00,64.00,56.00,64.00
1018804,SF_DS,52.00,50.00,20.00,36.00,36.00,38.00
1018774,SF_SI,42.00,48.00,40.00,64.00,46.00,46.00
1018790,SF_SR,12.00,32.00,24.00,20.00,24.00,28.00
1018619,SF_DI,62.00,50.00,40.00,56.00,48.00,44.00
1018795,SF_DE,58.00,52.00,42.00,54.00,62.00,54.00
1018639,SF_DI,74.00,54.00,44.00,58.00,44.00,58.00
1018734,SF_DS,58.00,60.00,42.00,42.00,40.00,44.00
1018781,SF_DE,62.00,46.00,46.00,60.00,64.00,60.00
1018805,SF_CI,60.00,48.00,68.00,72.00,64.00,60.00
1018778,SF_SI,46.00,58.00,32.00,54.00,30.00,50.00
1018855,SF_DI,70.00,52.00,54.00,60.00,54.00,54.00
1018794,SF_DR,68.00,48.00,48.00,52.00,52.00,68.00
1018801,SF_DR,56.00,52.00,46.00,52.00,54.00,62.00
1018829,SF_DI,62.00,46.00,34.00,60.00,58.00,46.00
1018775,SF_DS,68.00,70.00,40.00,56.00,52.00,56.00
1018776,SF_DC,58.00,48.00,66.00,46.00,48.00,52.00
1018817,SF_IE,62.00,42.00,50.00,64.00,70.00,40.00
1018828,SF_DI,64.00,54.00,48.00,66.00,62.00,60.00
1017665,SF_DS,58.00,54.00,42.00,42.00,40.00,44.00
1018812,SF_IE,56.00,46.00,62.00,66.00,64.00,52.00
1018807,SF_DE,64.00,50.00,50.00,58.00,68.00,48.00
1018834,SF_DR,64.00,44.00,46.00,48.00,48.00,56.00
1018833,SF_SI,42.00,48.00,44.00,46.00,42.00,18.00
1018808,SF_DS,70.00,52.00,44.00,36.00,44.00,44.00
1018802,SF_DS,58.00,56.00,52.00,44.00,46.00,50.00
1018839,SF_DR,60.00,50.00,42.00,46.00,54.00,62.00
1018814,SF_DS,58.00,42.00,32.00,30.00,20.00,30.00
1018854,SF_IE,44.00,38.00,36.00,62.00,60.00,40.00
1018815,SF_DI,76.00,54.00,52.00,66.00,64.00,60.00
1018825,SF_DI,56.00,40.00,38.00,60.00,52.00,46.00
1016110,SF_DR,60.00,46.00,44.00,40.00,52.00,58.00
1014112,SF_DR,72.00,52.00,46.00,40.00,36.00,52.00
1018853,SF_DI,70.00,46.00,46.00,58.00,50.00,48.00
1018851,SF_DR,62.00,50.00,54.00,52.00,34.00,56.00
1018788,SF_DR,66.00,48.00,48.00,46.00,42.00,60.00
1018849,SF_DI,60.00,34.00,44.00,56.00,48.00,52.00
1015988,SF_SR,46.00,48.00,28.00,46.00,42.00,52.00
1018836,SF_DR,54.00,48.00,38.00,50.00,40.00,52.00
1018861,SF_generic,46.00,34.00,32.00,34.00,34.00,24.00
1018856,SF_ER,54.00,50.00,30.00,54.00,56.00,56.00
1018796,SF_DR,72.00,56.00,46.00,46.00,52.00,64.00
1018770,SF_DE,62.00,52.00,50.00,52.00,60.00,56.00
1018842,SF_DR,68.00,46.00,48.00,56.00,62.00,64.00
1014711,SF_DI,58.00,52.00,42.00,54.00,52.00,46.00
1018850,SF_DI,54.00,38.00,48.00,50.00,20.00,34.00
1018797,SF_DE,56.00,46.00,52.00,54.00,58.00,52.00
1018859,SF_DR,70.00,48.00,48.00,38.00,38.00,50.00
1018819,SF_DR,70.00,52.00,46.00,54.00,34.00,62.00
1018858,SF_DS,54.00,52.00,28.00,48.00,40.00,40.00
1018886,SF_DS,58.00,52.00,40.00,44.00,44.00,50.00
1018880,SF_DS,46.00,48.00,36.00,36.00,42.00,34.00
1018889,SF_DI,68.00,52.00,42.00,66.00,52.00,46.00
1018860,SF_DI,64.00,58.00,60.00,62.00,50.00,42.00
1018887,SF_IR,50.00,44.00,30.00,56.00,42.00,54.00
1018230,SF_ER,50.00,44.00,48.00,48.00,58.00,52.00
1018869,SF_IR,50.00,44.00,38.00,64.00,30.00,54.00
1018913,SF_DR,56.00,34.00,50.00,48.00,46.00,54.00
1018909,SF_DR,56.00,34.00,28.00,30.00,36.00,38.00
1018823,SF_DS,58.00,60.00,46.00,54.00,56.00,54.00
1018903,SF_DE,66.00,56.00,60.00,62.00,68.00,54.00
1018882,SF_DI,64.00,56.00,48.00,62.00,56.00,58.00
1018901,SF_IR,50.00,42.00,32.00,52.00,46.00,56.00
969020,SF_DC,60.00,44.00,56.00,54.00,32.00,46.00
